"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"DraperCygnus","DraperCygnus","argenTAG","argenTAG","argentag","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Auth0","Auth0","auth0","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Ayuvant","Ayuvant","ayuvant","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Beeflow","Beeflow","beeflow","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"DraperCygnus","DraperCygnus","CargoProduce","CargoProduce","cargoproduce","canonical_investment","0.95","edgeseco.csv"
"DraperCygnus","DraperCygnus","Dynami","Dynami","dynami","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Egg","Egg","egg","canonical_investment","0.95","edgeseco.csv"
"DraperCygnus","DraperCygnus","Falcomm","Falcomm","falcomm","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","GBM","GBM","gbm","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Lemon","Lemon","lemon","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Menta","Menta","menta","canonical_investment","0.95","edgeseco.csv"
"DraperCygnus","DraperCygnus","mentatech","MentaTech","mentatech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Microterra","Microterra","microterra","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","novo-space","Novo Space","novospace","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Oasys","Oasys","oasys","canonical_investment","0.95","edgeseco.csv"
"DraperCygnus","DraperCygnus","Oneinfinite","Oneinfinite","oneinfinite","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","satellites-on-fire","Satellites On Fire","satellitesonfire","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Satellogic","Satellogic","satellogic","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","SiloReal","SiloReal","siloreal","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Skyloom","Skyloom","skyloom","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Splight","Splight","splight","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","st-mm","Stämm","stmm","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","TravelX","TravelX","travelx","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"DraperCygnus","DraperCygnus","Vmind","Vmind","vmind","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
